i14001,Petroleum Refining
i257,Pharmaceuticals
iphrws,Pharmaceuticals Wholesale
i643,Pharmacies/Drug Stores
iphmbn,Pharmacy Benefit Management
i3733,Photographic Equipment
i493,Photographic Processing
i83953,Photographic Services
iphsy,Physiotherapists
i5020043,Pipeline Laying
i1300006,Pipeline Transportation
iplascp,Plastic Containers/Packaging
iphplast,Plastic/Cosmetic Surgeons/Clinics
i483,Plastics Products
i32752,Plastics/Rubber Industry Machinery
iplum,Plumbing Contractors
iplumff,Plumbing Fittings/Fixtures
iposs,Point of Sale Systems
i763,Port/Harbor Operations
i3302011,Portable Computers
i32852,Portable Power Tools
iportsf,Portal Software
i83107,Portfolio/Fund/Asset Management
icusto,Post Trade Services
i7901,Postal Service
i2411,Pottery/Ceramics/Porcelain
i0100121,Poultry Farming
i4123,Poultry Processing
i5020044,Power Station Construction
i22472,Precious Metals
ippcell,Prepaid Mobile Services
ipresc,Prescription Drugs
i22,Primary Metals
i8381,Print Advertising
i4756,Printing
i2552,Printing Inks
i3246,Printing Machinery/Equipment
i475,Printing/Publishing
iwealth,Private Banking/Wealth Management
i8150203,Private Equity
iprivhea,Private Health Insurance
i8150214,Private Pension Funds
iproc,Procurement/Supply Chain Consulting
i67,Product Repair Services
i98205,Professional Bodies
i8200302,Professional Indemnity Insurance
i9833,Professional/Management Training
i8500015,Property Managers
icaslty,Property/Casualty Insurance
iproteo,Proteomics/Protein Therapy
ippf,Public Pension Funds
i8395205,Public Relations
i974110201,Public Service Television
ipubl,Publishing
i47101,Pulp Mills
i3287,Pump Manufacturing
i8383,Radio Advertising
i9741105,Radio Broadcasting
irfid,Radio Frequency Identification Equipment
igncmp,Radio Frequency/Microwave Components
i34541,Radio/Television Equipment
irleas,Rail Transport Equipment Rental/Leasing
irfrght,Railroad Freight
irlrins,Railroad Insurance
irpass,Railroad Passenger Transport
i362,Railroad Rolling Stock
i71,Railroads
i5020028,Railway Construction
i7642,Ramp/Baggage Handling
iraremet,Rare Earth Metals
i8395416,Rating Agencies
iffood,Ready Made Meals
ireest,Real Estate
i834,Real Estate Agents/Brokers
i815020602,Real Estate Investment Trusts
i85,Real Estate Transactions
icre,Real Estate/Construction
i36102,Recreational Boats
i352,Recreational Vehicles
i8395405,Recruitment Services
irbank,Regional Banks
i8200318,Reinsurance
i92113,Remediation/Cleanup Services
irenewee,Renewable Energy Equipment
irenewf,Renewable Energy Facility Construction
