E1104,Personal Income/Average Earnings
GPERSI,Personal Investments
GINVBN,Personal Investments in Bonds
GIVSTO,Personal Investments in Stocks
GPTECH,Personal Technology
MPETCH,Petrochemicals Markets
GPHOT,Photography
C182,Physical Asset Transactions
GFITN,Physical Fitness
E512,Physical Trade
GPHYS,Physics
GPLANT,Plant Health
GPLPOL,Plastic Pollution
MPLAT,Platinum/Palladium Markets
GPOIS,Poisoning
GPAPP,Political Appointments/Terminations
GCAT,Political/General News
GPIR,Politics/International Relations
GPOLO,Polo
GPOLYG,Polygamy
GPONZ,Ponzi/Pyramid Scheme
GPORN,Pornography
GPRETI,Post-retirement
MPOTA,Potatoes Markets
MPOULT,Poultry/Eggs Markets
GPOV,Poverty
MPCSMT,Precious Metals Markets
CPRPR,Predatory Pricing
GPRES,Preschool
NPRESS,Press Releases
CPRF,Price Fixing
C314,Pricing
GBSE,Prion Diseases (Animals)
GPRIS,Prisons/Prisoners
GDATAP,Privacy Issues/Information Security
GPRIVE,Private Education
CPFUND,Private Equity/Venture Funding
CPRPLA,Private Placements
C183,Privatizations/Nationalization
GPROB,Probation/Home Detention
EPPIN,Producer/Wholesale Price Index
CRECAL,Product Recalls
CPSHRT,Product Shortage
CPSTOC,Product Stockpile
C26,Product/Consumer Safety
COFFS,Production/Services Relocation
CEXPRO,Products/Services
C01,Profiles of Companies
CPROFI,Profit Warnings
EESTAX,Property Taxes
NPRPCT,Prospectuses
GPREPI,Prosthetic Replacements/Implants
GPROST,Prostitution
CPROX,Proxy Fight
GPSYL,Psychology
GPINQ,Public Inquiries
CPRIPU,Public-Private Partnerships
MPULP,Pulp/Paper Markets
MPULSE,Pulse Markets
EPMI,Purchasing Managers Index
GRACM,Racism
GRDLY,Radiology
GRALL,Rallying
GMSSH,Rampage/Serial Killings
NRAN,Rankings
GRELIS,Real Estate Listings
EREAL,Real Estate Markets
GREEST,Real Estate/Property
CRECAP,Recapitalization
GRCPS,Recipes
CRECRT,Recruitment
GREG,Regional Politics
C13,Regulation/Government Policy
C131,Regulatory Bodies
CRBREA,Regulatory Breach
GRELAD,Relationships
GREL,Religion
GRELDI,Religious Discrimination
GRENT,Renting/Letting
C23,Research/Development
E1119,Reserve Assets Figures
GLUNGC,Respiratory Tract Cancer
GCOLD,Respiratory Tract Diseases
E1107,Retail Sales Figures
GRETIR,Retirement Planning
CREVSS,Reverse Stock Splits
NRVW,Reviews
MRICE,Rice Markets
GRISK,Risk News
GROBB,Robbery
GROBO,Robotics
GRODEO,Rodeo
NRGN,Routine General News
NRMF,Routine Market/Financial News
GTREP,Routine Traffic Reports
GWERE,Routine Weather Reports
GROWI,Rowing
GROYAL,Royal Families
MRUBB,Rubber Markets
GRUGL,Rugby League
GRUGU,Rugby Union
C1513,Sales Figures
C3141,Sales Promotions
ESTAX,Sales Tax
GGAYM,Same-Sex Marriage/Civil Union
GSARS,SARS/MERS Viruses
GSCHOL,Scholarships/Educational Grants
GSCHO,School
GSCI,Sciences/Humanities
CSCPLO,Secondary Offerings
CGVFIL,Securities Filings
GSFRA,Securities Fraud
CSEEDR,Seed Round Financing
REDIT,Selection of Top Stories/Trends/Analysis
CSLMC,Senior Level Management
CROUFI,Series/Round Financing
ESERV,Services Sector Figures
COOCS,Settlements/Out-of-Court Agreements
GRAPE,Sex Crimes
GSEXD,Sex Discrimination
GSEXU,Sexuality
GSTD,Sexually Transmitted Diseases
CSHBUY,Share Buybacks/Redemptions
C171,Share Capital
C1522,Share Price Movement/Disruptions
CACTSH,Shareholder Activism
C1712,Shareholder Rights Plans
GSHOO,Shooting
CSCEV,Significant Corporate Events
MSILV,Silver Markets
GSKINC,Skin Cancer
GINSOM,Sleep Disorders
CSBLE,Small Business Lending
CSBSUP,Small Business Start-up Capital
CSMLBS,Small/Medium Businesses
GSMART,Smart City Development
GSMOK,Smoking
GSNO,Snowboarding
GSOCC,Soccer
CBENCO,Social Enterprises
GSOC,Social Issues
GWEB,Social Media
CSMAD,Social Media Marketing/Advertising
GCOM,Society/Community
GSOCL,Sociology
MAGRIC,Soft Commodity Markets
GSOFT,Softball
GSJUNK,Space Debris
GSPACE,Space Exploration/Travel
GSPAM,Spamming
GNEEDS,Special Needs Education
MSPICE,Spices Markets
GSPO,Sports
GSEBI,Sports Event Bidding
GSPORG,Sports Organizations
MSPOTP,Spot Markets
GSQUA,Squash
C132,Standards/Standardization
CSBNEW,Starting a Business
GVSTD,State Department
GSEC,State Security Measures/Policies
NSTACS,Statistics
MSTEEL,Steel Markets
CDELIS,Stock Delistings
C14,Stock Listings
MSOPTN,Stock Options
CSTKSP,Stock Splits/Bonus Issues
CSTDR,Stock Trading Disruptions
CSTRE,Stock Trading Resumptions
GHURR,Storms
GODD,Strange But True
NSTMV,Street Moves
GWEIG,Strength Sports
GSTRES,Stress-related Conditions
GSTROK,Stroke
GSLOAN,Student Loans
E214,Sub-national/Local Borrowing
E213,Sub-National/Local Budget/Taxation
MSUGAR,Sugar Markets
REQRAC,Suggested Reading - Accounting/Consulting
REQRAP,Suggested Reading - Advertising/Public Relations/Marketing
REQRAD,Suggested Reading - Aerospace/Defense
REQRAF,Suggested Reading - Agriculture/Forestry
REQRAI,Suggested Reading - Airlines
REQRAU,Suggested Reading - Automobiles
REQRBC,Suggested Reading - Banking/Credit
REQBIO,Suggested Reading - Biotechnology
REQBCS,Suggested Reading - Business/Consumer Services
REQRCH,Suggested Reading - Chemicals
REQRCT,Suggested Reading - Clothing/Textiles
REQRCM,Suggested Reading - Computers
REQRCR,Suggested Reading - Construction/Real Estate
REQRCP,Suggested Reading - Consumer Products
REQREN,Suggested Reading - Energy
REQEVR,Suggested Reading - Environment/Waste Management
REQRFB,Suggested Reading - Food/Beverages/Tobacco
REQRHC,Suggested Reading - Health Care
REQRHR,Suggested Reading - Hotels/Restaurants/Casinos
REQR,Suggested Reading - Industry News
REQRIN,Suggested Reading - Insurance
REQRIO,Suggested Reading - Internet/Online Services
REQRIS,Suggested Reading - Investing/Securities
REQLEA,Suggested Reading - Leisure/Arts
REQMIG,Suggested Reading - Machinery/Industrial Goods
REQRME,Suggested Reading - Media
REQRMM,Suggested Reading - Metals/Mining
REQPAP,Suggested Reading - Paper/Packaging
REQRPH,Suggested Reading - Pharmaceuticals
REQRRE,Suggested Reading - Retail
REQRTE,Suggested Reading - Telecommunications
REQRTS,Suggested Reading - Transportation/Shipping
GSUIC,Suicide
GSUPER,Superbugs
CSCM,Supply Chain
GSURF,Surfing
NSUR,Surveys/Polls
GSUST,Sustainable Development/Sustainability
MSWAP,Swaps
GSWIM,Swimming
GTABT,Table Tennis
NTAB,Tables
GTEVA,Tax Fraud
GTAXST,Tax Strategies
MTEA,Tea Markets
GTCOM,Telecommuting
GTVRAD,Television/Radio
CTENDO,Tender Offers
GTENN,Tennis
GTENP,Tenpin Bowling
GTERR,Terrorism
GTFIN,Terrorism Financing
GTHEAT,Theater
MTIN,Tin Markets
NTOP,Top Wire News
GTOR,Tornadoes
GTORTU,Torture
GTOXAL,Toxic Algae
GTOX,Toxic Leaks
GTRADE,Trade Barriers/Restrictions
E1118,Trade Figures
GTWAR,Trade Wars
E51,Trade/External Payments
CTMARK,Trademarks
GTRFF,Traffic Violations
GTRAFF,Trafficking/Smuggling
NTRA,Transcripts
GTRANS,Transport
GTACC,Transport Accidents
GVTRN,Transportation Department
GTOUR,Travel
GTDEAL,Travel Deals/Packages
GTRRW,Travel Reviews
GVTRE,Treasury Department
GTRIA,Triathlon
GTSUN,Tsunamis
GTUB,Tuberculosis
GLIST,TV/Radio Listings
GUNI,University/College
GVUPH,Upper House
GPLAN,Urban/Rural Planning
CUSAGS,Usage/Consumption Statistics
GVAND,Vandalism/Trespass
GMOSQ,Vector-borne/Zoonotic Diseases
MVEOIL,Vegetable Oil Markets
MVEGTA,Vegetables Markets
GVVET,Veterans Affairs Department
GVOLL,Volleyball
GWAR,War Crimes
CWARR,Warrants
GWEAP,Weapons Programs
GWEA,Weather
NWKAH,Week Ahead Outlooks
GWELSS,Weight Management
GWEFR,Welfare/Benefit Fraud
GWELF,Welfare/Social Services
MWHEAT,Wheat Markets
GWHIS,Whistleblowers
EWHSL,Wholesale Sales Figures
GBUSH,Wildfires
GWBS,Wine/Beer/Spirits
GWINT,Winter Sports
GWIRT,Wiretapping/Electronic Eavesdropping
GWITN,Witness Tampering
CFMEX,Women Executives
CWMOB,Women-owned Businesses
GWHEA,Women's Health
MWOOL,Wool Markets
CWRKPA,Workers Pay
GBAL,Work-Life Balance
CWKDIS,Workplace Discrimination/Abuse
CWKDIV,Workplace Diversity
COCCSH,Workplace Safety/Health Issues
GYACH,Yachting
MZINC,Zinc Markets
GASBST,Environmental Health
GQUAL,Environmental Pollution
GNATCN,Environmental Protection
CESG,Environmental/Social/Governance
GEPIL,Episodic/Paroxysmal Disorders
GEQUE,Equestrian
NEQAC,Equities Asset Class News
M11,Equity Markets
GSPY,Espionage
GESTAT,Estate Planning
GETHIC,Ethical Issues
GETHM,Ethnic Minorities
E52,Euro Zone/Currency
CEUROB,Eurobonds
GEUTH,Euthanasia
GVEXE,Executive Branch
CEXECP,Executive Pay
GEXT,Extortion/Blackmail
GXSPO,Extreme Sports
GBLIND,Eye Conditions
CPRDCL,Facility Closures
CPRDOP,Facility Openings
NFACT,Factiva Filters
E1114,Factory/Manufactured Goods Orders
EFAIRT,Fair Trade
GFAKE,Fake News Phenomenon
GFAM,Family Finance
